Farmer No.,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
692,"8,543","8,857","5,792","6,205","6,419","7,895","8,245","8,482","4,673","9,421","9,742","9,068","8,226","8,601","7,821","3,828","8,884","1,907","2,288","1,598","13,189","8,289","11,914","14,648","17,060","18,414","19,578","20,673","18,836","15,325","16,602","2,385",0,"9,586","1,417",0,0,0,0,0,0,"5,014","6,551","7,948","7,440","7,932","7,883","8,312","6,045","4,610","3,785","7,164"
693,"17,456","43,116","59,785","83,933","56,898","133,587","126,701","183,174","58,544","236,817","144,015","187,598","162,100","145,366","317,739","442,519","291,530","220,008","247,331","121,885","351,295","409,845","521,191","384,109","252,979","274,508","258,170","263,826","357,216","491,473","399,293","341,152","224,425","92,174","83,620","55,623","90,168","93,279","54,074","53,634","24,632","34,609","18,758","16,484","6,416","4,591","17,844","71,302","75,409","71,078","68,220","82,246"
694,"4,221","6,416","2,651","1,620","2,721","1,818","1,576",468,299,176,"1,158","3,733","3,165","3,562","7,263","8,044","6,898","8,005","13,339","14,336","17,225","7,741","20,573","25,049","30,209","19,399","26,044","25,669","26,498","19,327","23,528","19,811","21,450","15,162","11,589","7,823","6,115","5,463","3,182","5,381","3,016","2,436",0,0,0,942,734,237,"1,915","2,746",897,"3,843"
695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,802","74,554","92,389","90,771","89,499","80,988","91,664","85,653","85,788","69,795","82,692","74,026","57,924","42,552","26,212","27,862","20,626","22,534","29,237","19,888","15,940","27,686","11,137","18,312","18,618","20,574","4,444","17,382"
696,0,"1,226","2,519","2,649","3,117","3,427","5,018","5,365","3,973","7,372","6,133","9,386","7,573","10,420","17,335","16,168","15,750","13,307","16,398","16,400","15,421","15,887","20,439","17,256","17,452","14,720","18,206","20,098","19,733","16,866","17,471","16,063","12,245","11,238","11,202","8,687","7,914","6,120","5,439","4,322","4,159","3,161","3,180","3,603","3,678","3,673","3,134","3,692","3,482","3,051","2,662","2,049"
697,0,765,801,0,202,"1,466",727,934,786,592,0,894,"5,155","4,047","5,051","8,399","9,138","4,730","4,462","5,497","4,957","3,124","2,533","3,856","2,998","2,798","2,548","3,782","2,298",0,"3,107","2,325","1,127","1,293",0,0,0,0,0,0,581,"1,164","1,621","3,039","3,653","2,236",928,"1,182","1,334",877,525,922
698,0,0,0,0,0,"1,788","2,235","1,986","1,686","6,044","5,235","6,446","8,699","8,865","9,829","12,658","13,970","15,083","12,805","11,002","12,050","12,997","14,515","18,546","17,607","20,238","21,942","25,557","29,455","25,112","28,705","26,783","25,994","24,328","26,263","25,513","20,985","20,329","20,344","21,408","20,801","19,391","21,032","18,656","14,715","12,742","14,209","11,068","9,410","9,239","7,578","9,057"
699,"31,851","27,317","32,374","31,708","14,899","35,183","22,877","59,279","21,911","34,535","33,344","30,967","27,546","57,306","82,845","126,621","169,251","166,823","140,859","181,583","143,622","109,619","176,840","153,554","172,350","149,789","181,552","180,477","215,059","220,405","224,156","194,034","123,632","53,302","60,857","53,188","39,069","20,390","22,306","29,027","24,835","95,955","40,982","17,322","18,906","11,046","5,802","12,478","48,854","33,860","19,935","100,248"
700,0,0,0,"1,983","4,815","18,677","25,568","23,225","13,142","37,904","26,906",0,"19,165","37,493","55,756","45,212","63,469","42,086","33,715","28,099","34,203","35,040","27,143","34,271","39,149","44,061","37,129","42,789","49,743","33,665","44,651","38,239","22,955","10,611","30,636","14,145","25,309","20,438","2,291","4,414",914,"2,220",485,973,713,792,199,"1,224",943,333,407,"5,159"
701,"18,029","10,479","10,840","7,638","5,955","7,504","6,436","5,859","4,676","13,136","8,827","10,676","15,043","6,120","7,103","15,692","18,434","15,087","15,776","13,087","12,846","8,899","12,957","13,442","10,509","10,225","11,015","11,062","9,628","7,779","9,754","10,072","14,384","15,261","13,282","13,253","12,481","9,438","8,350","9,314","9,394","8,758","8,124","10,834","10,462","11,222","9,175","9,636","9,725","8,668","8,633","7,400"
702,0,340,"1,627","4,706",610,799,"1,077","1,212",549,456,"1,120","1,018",906,"1,118",911,"1,438","1,888","1,646","2,181","4,525","3,733","4,294","5,945","7,884","7,924","7,663","9,889","9,690","8,677","9,395","8,519","7,567","7,603","4,669","3,315","1,798","1,352","1,551","1,559","1,158",486,"1,053","1,373","1,004","1,131","1,064",897,736,"1,182",913,535,"1,417"
703,"1,211","1,342","1,880","1,681","1,568","1,769",0,0,0,0,"1,638","1,903","1,836","1,958","1,573","2,086","1,814","1,588","1,730","1,878","2,119","2,211","2,204","2,587","3,062","2,923","3,681","2,943","2,963","2,414","2,766","4,706","5,229","5,536","5,630","4,688","5,786","5,970","4,821","1,837",0,"4,871","3,945","3,411","2,257",0,0,"2,682","3,107","2,799","1,891","2,740"
704,"11,417","6,667","6,495","6,106","5,833","6,402","4,773","5,269","2,726","9,291","11,420","15,299","14,433","15,563","18,890","21,820","26,957","199,803","51,409","48,844","57,031","60,028","57,225","34,100","40,656","47,688","55,270","57,711","58,857","60,584","62,690","61,242","59,481","68,373","59,254","70,153","54,689","25,592","28,094","11,275","6,213","10,669","18,095","11,459","5,575","6,122","13,032","4,197","6,448","6,223","8,792","9,996"
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,915",0,0,0,0,0,0,0,0,0,0,0,"122,844","68,625","7,263","22,675","33,767","26,688",301,835,"4,853","3,653","12,868","2,753","2,678",683,"5,825",0,0,"18,106","18,001","3,976","10,070"
706,"29,365","19,991","22,740","19,821","19,530","20,254","21,693","21,956","12,030","20,050","21,149","22,509","25,002","29,269","24,725","28,908","33,260","27,081","30,813","29,879","28,482","29,058","30,356","31,976","30,658","29,305","27,230","35,396","36,493","34,768","37,400","32,936","31,410","27,738","20,638","26,279","31,988","26,452","22,893","22,532","18,618","26,827","23,712","22,386","22,083","18,880","22,143","22,812","20,100","24,723","19,719","32,704"
707,"11,039","5,405","5,369","13,324","13,663","6,581","9,734","10,257","2,647","9,536","8,362","16,343","4,558","4,798","6,895","7,082","10,485","20,451","22,465","23,850","20,745","17,848","17,315","15,988","11,875","15,934","17,117","17,897","19,405","18,123","16,038","16,420","13,948","13,018","11,245","10,693","10,524","9,426","12,178","9,772","7,267","10,106","10,129","7,408","7,005","6,205","5,916","6,294","6,640","6,847","3,881","5,594"
708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410
709,"1,056","2,174","1,515","4,925",791,"8,416","12,766","12,158","4,010","22,384","23,674","26,878","15,478","23,385","29,603","22,911","42,778","45,456","40,859","46,494","49,756","41,596","48,659","57,083","60,883","59,879","56,639","52,053","46,848","13,114","4,920","4,045","30,071","29,072","15,133","16,969","9,172","10,419","1,589","2,449",324,"3,818","1,775","9,788","12,918","11,984","8,236","9,934","15,863","15,019","4,581","11,589"
710,"29,001","18,639","47,502","96,576","18,552","94,796","69,565","55,795","3,013","11,121","32,780","37,070","8,313","45,418","78,370","82,943","92,526","69,637","154,009","157,334","170,562","91,813","183,666","195,751","175,610","129,778","176,103","177,318","200,428","117,829","134,269","118,690","107,906","45,170","32,353","42,964","14,134","15,184","11,686","12,728","11,081","27,496","12,547","21,660","30,363","11,520","5,548","9,281","9,465","7,424","5,370","19,127"
711,"6,724","2,268","9,622",0,0,0,629,0,0,"1,992","1,621","5,391","1,710","2,072",749,"2,437","3,575","1,161",0,0,0,"31,619","42,249","107,385","98,143","106,501","117,968","80,471","119,996","147,463","112,174","129,048","81,638","13,020","3,806","2,881","6,270",0,"9,007","6,312","2,313","12,935",0,"3,426","5,348","7,052","2,215","5,064","7,244","6,803",0,"10,450"
712,"8,487","4,349","7,439","6,893","4,904","8,189","9,472","4,139","3,489","4,523","14,315","7,341","9,358","17,170","67,809","134,043","193,098","136,818","169,905","221,806","124,995","96,370","245,582","407,561","353,815","262,137","442,450","207,262","319,134","421,900","181,026","29,510","17,059",0,"1,209","4,461",0,"4,257","3,159","4,733","1,112","7,258",324,0,0,0,0,"5,216","4,814","3,435",0,"2,206"
713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,994,818,"1,078","1,033","1,190",994,648,336,287,181,508,511,510,563,501,749,582,585,504,587,249,481,292,250,126,167,208,124,186,"1,116","1,358"
714,"42,196","4,675","2,440","6,926","5,679","58,614","12,969","32,749",0,0,"36,246","20,128","78,527","94,468","226,742","220,272","240,318","83,690","316,453","177,668","154,926","102,984","460,943","560,305","855,890","781,959","898,927","609,749","741,025","1,040,666","778,729","410,137","45,402",0,0,0,0,"94,965","28,564","17,227","6,527","76,793","45,278",0,0,0,0,0,"27,980","3,732",0,"119,763"
715,"1,275","1,247","1,569",748,"1,393","2,734","2,330","2,172",233,486,991,"2,962","2,755","2,713","3,929","1,345","1,523",563,88,511,"2,030","1,752","1,048","2,514","1,010",757,"2,138","3,259","1,939","1,108",690,539,"11,157","10,796","5,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,033","2,617","3,225"
716,"13,871","15,449","22,229","9,520","10,822","9,530","18,768","8,424","3,517","10,269","24,777","23,637","30,828","27,332","37,488","43,643","63,757","68,459","72,843","84,464","57,370","68,750","70,638","70,216","69,346","65,541","84,349","76,557","73,529","72,089","55,674","40,277","14,880",0,0,"2,103","2,988","3,396","2,453","3,628","1,880","3,327","1,629",0,0,0,0,"3,309","4,477","5,961","2,999","9,707"
717,"9,288",401,"2,791",714,"3,310","8,388","2,029","2,457","2,761","1,496",514,0,0,531,851,"4,706","2,441","9,109","12,506",0,0,"1,347","182,347","466,502","443,198","398,636","296,021","368,129","323,933","269,637","66,513","36,253","5,960",0,0,"4,912","9,303","6,668","5,039","2,517","1,856","7,802","2,633",634,229,0,"1,251","4,261","26,607","4,914","1,229","2,310"
718,0,0,0,0,"6,447","48,488","53,735","67,241","26,688","52,133","44,989","39,782","67,062","67,428","107,572","133,280","277,303","150,500","168,523","106,527","112,621","131,654","182,157","186,126","199,181","174,702","188,587","128,660","99,547","189,100","148,058","101,792","37,529","2,121",0,"14,009","9,393","9,644","12,649","11,834","7,250","15,969","28,360","16,090","12,084",0,"5,991","7,854","12,387","11,912","7,748","16,132"
719,"7,167","4,165","4,206","4,423","5,203","15,070","9,800","7,209","2,413","5,605","7,522","11,481","17,361","39,372","29,479","29,867","48,051","38,089","76,374","63,813","55,079","58,934","118,686","166,961","155,484","128,517","155,109","146,251","106,572","98,003","124,849","95,410","17,105","4,386","5,550","5,665","2,655","3,498","3,424","5,589","3,863","14,701","6,245","2,563",341,0,0,0,"3,875","5,723","1,782","9,390"
720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,101,0,0,0,"4,570","13,094","12,590","8,690","10,472","8,913","8,852","12,878","22,678","8,977","7,880","5,634",0,377,"2,215","1,413","1,756","3,249",0,195,0,0,954,"1,422",0,0,321
721,0,0,348,"2,576","1,953","9,933","7,059","5,598","3,630","8,559","5,905","8,108","9,421","7,015","4,344","8,349","10,825","13,284","14,780","15,210","14,950","17,086","16,216","26,094","21,686","25,896","31,948","19,066","30,160","30,169","32,318","26,106","20,230",0,0,0,166,"1,521",0,0,0,0,0,0,0,0,0,0,"2,516","6,638","3,410","1,838"
722,"1,021",0,"2,329",0,0,0,0,0,0,0,0,0,0,"1,178","1,922","4,939","6,203","13,360","22,748","17,274","19,003","20,694","30,930","22,907","11,044","9,435","29,062","17,761","30,337","17,869","10,050","7,275","1,782",0,"3,130","4,334","4,687","4,714","3,909","4,197","1,880","1,064",0,0,0,0,451,"1,310","4,449","3,909",548,961
723,"422,304","266,442","265,957","276,704","264,013","251,209","257,717","270,346","164,514","390,601","292,160","309,429","307,545","331,655","349,954","331,341","415,458","397,126","398,234","412,756","436,420","400,588","420,648","423,110","455,628","473,973","501,969","1,171,678","536,131","511,549","555,745","520,962","468,596","482,820","507,324","510,404","513,927","523,326","546,497","553,124","536,638","541,611","547,147","554,049","549,871","529,063","534,634","506,125","517,352","524,823","516,755","518,525"
724,0,0,0,0,0,0,0,311,0,0,0,0,0,0,"1,186","1,322","1,419","1,838","2,070","2,100","2,686","3,314","3,943","3,501","4,435","5,598","5,728","5,474","5,709","5,244","4,546","5,080","4,691","3,993","3,905","2,743","3,128","3,054","1,996","2,999","2,290","3,230","4,067","5,469","5,183","5,038","5,468","7,272","6,440","5,481","5,539","5,647"
725,"1,702",493,0,0,0,0,0,0,0,"1,026",0,0,0,0,0,"3,513","1,517","1,459",0,"2,971","2,857","2,408","4,700","5,176","2,665","2,784","3,683","2,428","4,800","4,433","5,424","4,262","4,438","4,718","4,193","4,407","3,809","4,339","3,089","2,861","2,409",920,"3,450","3,693","3,688","3,373","3,364","3,184","3,014","3,069","1,597","1,994"
726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,424","70,588","89,141","156,385","171,765","170,086","170,616","177,305","155,980","78,731","126,121","142,538","89,695","23,137",0,0,0,0,0,0,"3,073","1,541","2,051",534,0,0,0,0,0,0,0,0,"2,439"
727,"84,668","61,445","60,095","71,151","59,707","60,061","60,643","75,190","45,231","104,125","83,921","73,900","80,797","81,820","85,109","83,744","87,774","83,399","88,122","88,310","84,213","91,945","85,847","87,402","89,589","86,025","90,299","91,730","92,961","96,672","95,262","91,613","92,957","106,225","86,805","87,800","86,892","81,949","98,074","88,460","87,992","77,585","102,439","80,644","83,122","98,219","85,016","88,252","93,896","104,018","76,632","93,224"
728,"3,501","4,221","4,589","8,177","8,685","10,956","12,698","14,439","9,277","22,489","17,436","14,179","10,428","13,791","12,242","16,918","17,826","18,495","19,878","23,729","21,161","21,817","23,619","20,943","24,893","27,506","25,707","23,854","21,057","20,139","24,237","17,678","18,360","25,705","12,882","18,306","15,583","16,067","17,972","15,721","14,708","10,010","16,697","13,979","11,545","10,775","12,522","11,949","9,729","5,701","4,310","2,953"
729,0,"3,385",479,"30,924","24,662","42,751","33,012","31,676","15,137","25,948","26,376","36,057","38,163","168,584","357,363","528,543","495,091","319,111","623,763","565,808","371,026","291,563","382,593","603,868","685,573","647,150","474,807","569,472","502,525","467,347","219,942","90,282","14,116",0,0,"1,932","2,558","3,220","6,169","4,775",516,"7,796","4,070",0,0,0,988,"19,958","20,287","27,747","5,893","8,437"
730,"64,129","29,712","38,604","54,937","109,737","46,536","45,913","58,082","42,738","82,298","57,664","74,653","89,968","102,557","102,128","112,202","108,280","132,223","126,327","135,671","127,181","121,784","122,800","144,739","133,755","136,361","141,801","158,720","143,907","161,611","182,640","139,828","131,772","139,399","102,574","132,208","105,650","99,053","109,438","108,608","80,053","63,533","88,659","75,700","54,210","50,849","60,890","43,498","38,744","41,832","41,417","44,975"
731,"4,425","5,800","4,687","2,186","1,200",686,"2,748","1,399",0,"2,769","2,769","4,556","7,230","10,954","8,422","11,182","14,592","17,079","19,287","21,773","20,383","17,480","19,153","13,735","23,946","18,083","19,131","20,523","21,666","12,312","13,253","8,351","3,175",0,"1,333",0,0,0,0,0,0,0,"1,114","1,869","1,109",869,0,"2,106",933,"4,525",0,"1,415"
732,"1,870","1,798",825,685,"1,127","6,753","6,098","4,647","1,540","6,507","8,666","3,113","4,664","5,207","9,967","12,629","8,933","6,599","12,190","12,419","10,420","7,118","10,708","13,849","17,518","20,075","22,814","26,621","28,937","30,543","31,122","20,998","18,736","14,354","2,842","2,122",776,"1,972",679,"1,182","1,045",827,"1,585","1,554",527,740,475,504,"2,310","2,613",919,"4,248"
733,"1,534",0,"2,397","3,247","2,771","2,354","2,105","4,198",220,706,131,769,0,"3,512","4,592","7,353","12,698","9,581","19,889","13,730","16,408","17,214","14,190","5,439",430,"1,013","4,827","2,266","2,895","7,669","17,613","13,448","9,792","6,357","1,325",968,0,388,871,731,794,"1,410",975,900,"2,413","1,419","2,433","2,019","1,934","1,637",440,0
734,0,0,0,"1,267","1,779","1,901","1,711","1,592",859,"2,301","1,324","1,748","1,586","1,827","1,808","1,250","1,964","2,388","2,920","5,203","5,239","6,757","5,835","5,865","5,775","6,317","8,995","8,644","11,988","9,726","9,701","8,919","9,228","8,336","5,842","4,711","3,421","4,565","4,706","3,995","3,825","2,859","2,289","2,070","2,146","1,711","1,602","1,422","1,687","1,833","1,960","2,247"
735,771,"1,026","1,053",548,"1,982","1,571","2,064",431,558,"1,600",226,"1,211",0,"4,797","7,839","11,375","18,966","16,723","20,113","23,214","20,221","23,539","24,635","26,595","23,928","24,196","27,454","19,328","19,122","18,629","21,433","10,813","11,361","11,051",0,0,0,0,0,0,0,"2,658","1,116",556,"1,431",336,0,156,"4,992",680,477,"2,062"
736,"9,469","9,521","11,920","16,815","18,947","22,825","20,108","19,808","4,258","2,539","1,953","1,288","1,500","1,423","6,148","3,085","3,247","2,270","41,643","63,029","52,612","46,655","53,685","66,093","81,090","95,849","102,220","95,806","82,092","89,812","93,100","83,689","72,618","46,087","19,832","22,447","24,422","23,381","32,781","22,375","22,755","23,878","38,459","19,604","22,471","22,649","26,645","26,223","27,281","29,893","15,143","37,506"
737,299,0,647,916,983,"2,248",0,423,0,0,0,0,0,0,0,556,"1,064","3,397","8,762","5,691","4,291","11,828","14,497","17,100","22,674","17,854","17,437","7,388","15,382","16,947","16,288","14,074","1,873",0,0,0,83,615,310,0,0,0,78,0,0,0,0,0,381,497,0,"2,012"
738,717,900,704,"1,554",905,"3,944","4,848","7,023","5,900","11,124","5,782","5,818","8,905","8,189","7,439","7,258","5,409","3,021","3,385","5,855","2,623","4,445","4,630","5,658","6,818","6,071","5,008","6,539","5,676","5,380","5,613","4,044","4,327","5,304","2,462","1,460","2,049","2,509","1,693",837,"1,036","2,871","1,761","2,493","2,818","1,711","1,733","2,568","3,521","4,242","3,158","5,754"
739,"1,125","16,370","13,011","15,812","8,911","60,007","27,667","22,272","6,315","11,489","10,148","16,403","12,076","18,063","64,507","88,819","93,388","102,466","257,890","223,450","177,813","190,137","132,619","101,477","107,019","107,586","107,257","120,726","110,284","100,816","83,160","76,380","10,681",0,444,"1,525","1,843","1,354","1,390","2,356","2,346","1,317",972,0,0,0,137,456,"1,752","1,627","2,515",614
740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907,734,869,"3,244","3,571","3,336","4,680","4,620","1,922","3,543","5,467","3,986","1,653","1,557","1,155","1,211","1,343","1,550","1,093",659,"1,109","3,699",0,0,735,"1,028","1,159",871,877
741,"6,738",819,"1,659",219,374,0,0,0,0,0,0,0,"1,415","1,406","4,584","21,344","31,588","34,473","45,048","54,838","50,206","59,487","61,418","64,279","64,103","65,959","65,765","75,691","69,373","69,834","78,636","60,706","42,388","22,287","13,540","9,386","7,643","2,990","10,430","2,824","3,232","9,687","8,402","3,809","4,242","8,111","3,121","2,880","3,194","2,811","3,902","5,476"
742,"1,134",815,979,"2,158","1,994","4,509","3,837","4,216","3,329","3,837","2,286","2,649","3,523","2,110","2,715","2,884","3,795","4,083","5,611","6,933","5,685","4,997","5,849","9,165","12,361","10,637","14,419","12,218","14,392","12,672","15,616","11,788","10,077","6,415","6,076","6,845","5,638","3,670","4,307","5,363","2,570","3,126","2,300","2,087","1,024","1,635","1,047",651,727,"1,680","1,410","1,567"
743,"3,590","2,884","1,618","2,716","3,803","6,386","5,855","5,465","2,117","5,031","2,055","2,607","2,485","14,814","16,529","4,649","15,216","11,891","7,503","11,132","7,384","8,257","9,389","11,410","11,720","8,272","9,326","19,640","23,688","34,972","42,358","32,973","8,842",0,0,"1,984","3,601","3,854","3,345","3,996","5,987","10,750","3,617","1,619","2,461","3,362","2,198","3,617","5,197","4,665","3,525","5,768"
744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,712","55,558","13,562","39,278","44,301","42,091","37,764","37,163","28,866","23,228","26,928","22,697","23,462","24,480","20,697","19,810","20,820","19,686","11,604","15,956"
745,"1,462",0,637,"4,474","5,538","4,117","4,217","3,731","2,251","5,755","3,697","4,012","5,031","3,643","5,287","4,631","5,772","5,173","4,249","10,625","4,270","2,033","3,374","2,847","3,917","3,675","7,134","3,327","12,807","13,712","8,028","2,955","4,469","2,449","2,669",259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,733"
746,291,0,"1,768","1,493",0,371,"2,151","7,175","5,147","6,058","3,929","6,691","7,199","4,165","8,199","14,623","16,414","16,741","23,908","21,685","25,524","26,275","16,177","12,489","17,654","23,454","21,343","17,455","15,247","4,371","9,714","6,402","6,486",243,748,0,"8,466","7,570",0,581,315,"2,274","5,158","3,709","1,726",564,"1,422","2,515","2,160","1,680",950,942
747,"4,501",0,0,"1,308",639,"12,337",981,"1,535",0,0,0,0,0,"4,638","9,216","3,924","2,779","1,751","6,188","12,158","2,308","5,664","5,558","4,945","8,531","8,178","25,689","25,356","16,280","7,515","21,374","11,355",0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0
748,"15,217","10,394","18,519","15,339","14,002","13,093","3,612","8,060",0,0,0,0,0,"14,388","53,646","62,653","71,435","72,067","80,662","80,956","77,872","81,788","83,635","88,980","90,799","95,078","95,135","98,912","97,289","93,361","104,993","87,987","86,514","101,234","73,890","59,907","68,001","53,067","57,109","46,856","40,970","50,811","64,825","57,705","48,432","64,903","55,377","46,978","45,720","38,170","30,286","40,531"
749,"5,588","5,088",643,241,554,"4,988","11,185","4,993","2,780","46,784","36,590","34,444","35,771","52,740","71,733","79,933","105,691","84,643","134,153","27,730","15,853","12,069","17,076","17,951","12,454","10,900","13,346","10,220","9,792","16,053","10,768","6,916","6,226",0,"1,195",0,0,0,0,0,"2,055",0,0,0,0,0,0,0,"1,476",0,0,0
750,"1,381",504,"2,089","1,400",205,869,"1,114",852,563,564,"1,042",894,525,"1,421",643,556,320,368,0,"2,044","4,481","3,073","6,694","8,857","13,056","9,682","20,792","20,108","20,946","17,859","21,320","20,535","14,942","8,817","5,050","3,551","2,338",864,824,126,0,535,0,0,0,0,0,0,914,611,428,611
751,0,0,0,0,709,590,726,744,455,"1,070",791,783,834,818,808,"1,104",809,677,449,546,"1,050",215,859,745,"1,053",984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,970,342,816,578,114,118,863,532,312,501,605,866,346,"1,078",852,659,613,113,79,660,341,0,505,"1,694","1,430",459,604,0,0,994,0,567,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,465
753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,309","4,252","5,754","6,416","7,901","7,478","7,364","6,751","7,628","6,488","5,784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,573"
754,0,401,"1,810",938,"1,946","15,416","16,013","27,487","11,192","26,640","25,090","27,610","12,993","49,333","48,734","87,613","8,265","7,206","14,168","14,182","11,644","8,794","20,755","17,194","19,596","20,573","19,556","17,259","15,248","14,465","16,555","13,013","8,946",0,0,972,"2,619",0,0,"1,258",312,"2,467",0,0,0,0,451,0,"1,735","2,893",0,913
755,153,298,79,0,0,0,"1,012","1,306",743,"1,978","1,554","1,584","1,642","2,002","3,069","7,417","6,273","7,529","8,650","9,306","8,883","10,369","10,336","12,204","13,032","13,018","16,880","17,882","17,506","16,653","16,814","15,705","14,392","10,371","10,358","13,231","11,114","10,307","7,073","7,533","6,802","7,282","5,847","4,042","5,967","5,400","5,604","4,525","4,527","3,501","3,620","3,161"
756,"2,763","1,918","1,364","1,828","1,012","1,719","2,940","1,256",0,836,"1,316","3,700","4,807","5,287","12,690","16,530","15,003","14,731","15,998","18,167","19,399","20,414","22,788","15,295","13,864","12,879","16,577","21,843","35,052","33,044","34,707","26,995","26,316","19,367","13,207","14,593","9,281","9,707","10,765","7,435","5,798","8,795","15,164","17,693","15,546","15,435","16,562","13,837","6,435","7,113","5,390","11,043"
757,"27,052","18,004","35,072","22,102","13,902","17,176","19,459","25,360","14,416","11,522",0,0,0,0,0,0,"6,266",0,"23,449","44,905","50,726","52,687","64,755","79,188","67,437","69,488","74,024","74,385","68,047","60,737","77,583","71,509","67,655","45,933","29,777","27,130","37,206","28,942","26,399","22,145","12,757","18,932","33,221","23,291","24,224","28,613","30,184","17,504","24,898","18,083","11,063","12,193"
758,"2,121","1,218","1,429","1,137",265,0,0,392,0,"2,471","2,168","1,987","1,700","2,560","3,798","3,783","2,585","3,027","8,007","12,399","10,076","11,179","11,834","15,635","20,104","23,156","29,062","27,091","27,337","26,443","29,986","24,409","25,061","17,329","12,490","16,104","15,762","18,112","17,827","17,066","17,690","16,032","18,551","15,006","14,001","14,180","17,648","16,057","18,239","17,861","11,073","20,417"
759,"5,256","5,832","7,061","3,699","2,800",280,647,0,328,"1,091",510,431,395,"3,632","4,880","5,533","7,082","5,833","7,323","6,570","6,176","8,530","7,928","5,534","5,114","6,482","6,703","8,224","9,549","4,162","4,295","5,325","6,814","8,141","9,068","9,393","9,006","8,674","9,636","9,561","9,292","7,836","6,450","6,249","6,698","5,711","5,241","4,797","4,222","3,612","2,949","2,585"
760,"81,786","82,713","92,238","76,059","61,453","74,889","75,690","73,446","38,806","135,766","77,315","98,732","119,412","115,222","124,367","196,015","244,839","198,857","262,203","274,380","178,924","181,302","203,306","195,991","199,734","187,536","208,572","133,404","144,523","149,603","129,595","136,210","117,307","72,600","45,586","41,556","36,896","24,684","22,594","21,497","12,178","7,352","7,071","10,084","2,121","6,329","7,061","9,364","27,415","28,594","19,443","49,072"
761,0,0,0,"1,517",0,"7,251","6,328","11,322","3,645","10,974","7,967","1,994",0,"2,619","6,437","12,985","14,720","10,588","13,981","8,932","13,460","11,578","32,467","22,180","33,060","24,709","38,877","30,050","26,578","24,117","27,847","22,406","10,690","3,786","5,115","2,089","3,989","1,978",0,0,"2,576",0,0,0,0,0,0,0,0,"3,395",0,0
762,"24,416","202,834","181,816","131,735","59,506","93,749","80,719","51,615","22,858","38,113","11,748","11,870","21,024","96,090","123,894","165,161","156,564","142,115","133,628","125,621","144,232","137,330","150,122","172,311","202,991","181,598","185,837","179,596","283,440","166,297","159,171","135,316","126,022","97,346","38,760","26,836","23,196","17,735","5,726","13,561","8,559","10,707","6,504","11,467","9,900","10,038","4,818","6,966","12,119","12,377","3,873","9,551"
763,"18,378","12,484","14,366","14,152","11,929","9,798","11,385","8,265","5,362","8,753","7,286","3,208","4,964","5,027","4,752","2,648","6,601","4,084","2,333","4,895","4,924","5,100","14,384","12,961","12,165","10,178","12,313","12,194","10,750","10,183","11,992","4,205","4,103",981,"1,749",937,262,0,0,0,"1,368",0,0,0,"1,609",0,0,389,275,0,0,"2,362"
764,"20,725","13,579","13,722","14,488","13,741","10,670","6,092",0,0,0,0,0,0,0,"5,489",0,0,0,0,"17,498","37,999","29,824","39,227","40,277","34,856","38,768","45,582","36,142","15,334","25,103","39,522","50,056","39,289","22,122","19,115","13,025",888,0,388,"6,169","2,639","3,763","2,509","8,820","4,247","9,098","2,946","4,969","7,693","7,027","3,329","6,599"
